#Town_U_1
W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W 
W TW TW TW TW TW TW JG JG JG G G G G G G G G G G G G G G G G JG JG JG TW TW TW TW TW TW W 
W T T T T T TW N N N N N N N N N NP N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW JG JG JG N N N N N N N N N N N N N N N N JG JG JG TW T T T T T W 
W T T T T T TW N N N TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW N N N TW T T T T T W 
W T T T T T TW N N N TW T T T T T T T T T T T T T T TW N N N TW T T T T T W 
W T T T T T TW JG JG JG G G G G G G G G G G G G G G G G JG JG JG TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W 
@
#Town_LR_1
W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W 
W T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T W 
W T T T T T TW G G G G G G G G G G G G G G G G G G G G G G TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW JG JG JG N N N N N N N N N N N N N N N N JG JG JG TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW JG JG JG N N N N N N N N N N N N N N N N JG JG JG TW T T T T T W 
W T T T T T TW N N N TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW N N N TW T T T T T W 
W T T T T T TW N N N TW T T T T T T T T T T T T T T TW N N N TW T T T T T W 
W T T T T T TW JG JG JG G G G G G G G G G G G G G G G G JG JG JG TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N NP N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW JG JG JG N N N N N N N N N N N N N N N N JG JG JG TW T T T T T W 
W T T T T T TW N N N TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW N N N TW T T T T T W 
W T T T T T TW N N N TW T T T T T T T T T T T T T T TW N N N TW T T T T T W 
W G G G G G G JG JG JG G G G G G G G G G G G G G G G G JG JG JG G G G G G G W 
W N N DL DA N N N N N N N N N N N N NP N N N N N N N N N N N N N DR DA N N W 
W N N DA DA N N N N N N N N N N N N N N N N N N N N N N N N N N DA DA N N W 
W N N DA DA N N JG JG JG N N N N N N N N N N N N N N N N N N N N N DA DA N N W 
W N N N N N N N N N TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW N N N N N N N N N W 
W N N N N N N N N N TW T T T T T T T T T T T T T T TW N N N N N N N N N W 
W TW TW TW TW TW TW JG JG JG G G G G G G G G G G G G G G G G JG JG JG TW TW TW TW TW TW W 
W T T T T T TW N N N N N N N N N NP N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW JG JG JG N N N N N N N N N N N N N N N N JG JG JG TW T T T T T W 
W T T T T T TW N N N TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW N N N TW T T T T T W 
W T T T T T TW N N N TW T T T T T T T T T T T T T T TW N N N TW T T T T T W 
W T T T T T TW JG JG JG G G G G G G G G G G G G G G G G JG JG JG TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W 
@
#Town_UDL_1
W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W 
W T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T W 
W T T T T T TW G G G G G G G G G G G G G G G G G G G G G G TW T T T T T W 
W T T T T T TW N N N N N N N N N N DD DA N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N DA DA N N N N N N N N N N TW T T T T T W 
W T T T T T TW JG JG JG N N N N N N N DA DA N N N N N N N JG JG JG TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW JG JG JG N N N N N N N N N N N N N N N N JG JG JG TW T T T T T W 
W T T T T T TW N N N TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW N N N TW T T T T T W 
W T T T T T TW N N N TW T T T T T T T T T T T T T T TW N N N TW T T T T T W 
W T T T T T TW JG JG JG G G G G G G G G G G G G G G G G JG JG JG TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N NP N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW JG JG JG N N N N N N N N N N N N N N N N JG JG JG TW T T T T T W 
W T T T T T TW N N N TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW N N N TW T T T T T W 
W T T T T T TW N N N TW T T T T T T T T T T T T T T TW N N N TW T T T T T W 
W G G G G G G JG JG JG G G G G G G G G G G G G G G G G JG JG JG G G G G G G W 
W N N DL DA N N N N N N N N N N N N NP N N N N N N N N N N N N N N N N N W 
W N N DA DA N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N W 
W N N DA DA N N JG JG JG N N N N N N N N N N N N N N N N N N N N N N N N N W 
W N N N N N N N N N TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW N N N N N N N N N W 
W N N N N N N N N N TW T T T T T T T T T T T T T T TW N N N N N N N N N W 
W TW TW TW TW TW TW JG JG JG G G G G G G G G G G G G G G G G JG JG JG TW TW TW TW TW TW W 
W T T T T T TW N N N N N N N N N NP N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW JG JG JG N N N N N N N N N N N N N N N N JG JG JG TW T T T T T W 
W T T T T T TW N N N TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW N N N TW T T T T T W 
W T T T T T TW N N N TW T T T T T T T T T T T T T T TW N N N TW T T T T T W 
W T T T T T TW JG JG JG G G G G G G G G G G G G G G G G JG JG JG TW T T T T T W 
W T T T T T TW N N N N N N N N N N DU DA N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N DA DA N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N DA DA N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W 
@
#Town_UDR_1
W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W 
W T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T W 
W T T T T T TW G G G G G G G G G G G G G G G G G G G G G G TW T T T T T W 
W T T T T T TW N N N N N N N N N N DD DA N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N DA DA N N N N N N N N N N TW T T T T T W 
W T T T T T TW JG JG JG N N N N N N N DA DA N N N N N N N JG JG JG TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW JG JG JG N N N N N N N N N N N N N N N N JG JG JG TW T T T T T W 
W T T T T T TW N N N TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW N N N TW T T T T T W 
W T T T T T TW N N N TW T T T T T T T T T T T T T T TW N N N TW T T T T T W 
W T T T T T TW JG JG JG G G G G G G G G G G G G G G G G JG JG JG TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N NP N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW JG JG JG N N N N N N N N N N N N N N N N JG JG JG TW T T T T T W 
W T T T T T TW N N N TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW N N N TW T T T T T W 
W T T T T T TW N N N TW T T T T T T T T T T T T T T TW N N N TW T T T T T W 
W G G G G G G JG JG JG G G G G G G G G G G G G G G G G JG JG JG G G G G G G W 
W N N N N N N N N N N N N N N N N NP N N N N N N N N N N N N N DR DA N N W 
W N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N DA DA N N W 
W N N N N N N JG JG JG N N N N N N N N N N N N N N N N N N N N N DA DA N N W 
W N N N N N N N N N TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW N N N N N N N N N W 
W N N N N N N N N N TW T T T T T T T T T T T T T T TW N N N N N N N N N W 
W TW TW TW TW TW TW JG JG JG G G G G G G G G G G G G G G G G JG JG JG TW TW TW TW TW TW W 
W T T T T T TW N N N N N N N N N NP N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW JG JG JG N N N N N N N N N N N N N N N N JG JG JG TW T T T T T W 
W T T T T T TW N N N TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW N N N TW T T T T T W 
W T T T T T TW N N N TW T T T T T T T T T T T T T T TW N N N TW T T T T T W 
W T T T T T TW JG JG JG G G G G G G G G G G G G G G G G JG JG JG TW T T T T T W 
W T T T T T TW N N N N N N N N N N DU DA N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N DA DA N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N DA DA N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W 
@
#Town_ULR_1
W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W 
W T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T W 
W T T T T T TW G G G G G G G G G G G G G G G G G G G G G G TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW JG JG JG N N N N N N N N N N N N N N N N JG JG JG TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW JG JG JG N N N N N N N N N N N N N N N N JG JG JG TW T T T T T W 
W T T T T T TW N N N TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW N N N TW T T T T T W 
W T T T T T TW N N N TW T T T T T T T T T T T T T T TW N N N TW T T T T T W 
W T T T T T TW JG JG JG G G G G G G G G G G G G G G G G JG JG JG TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N NP N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW JG JG JG N N N N N N N N N N N N N N N N JG JG JG TW T T T T T W 
W T T T T T TW N N N TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW N N N TW T T T T T W 
W T T T T T TW N N N TW T T T T T T T T T T T T T T TW N N N TW T T T T T W 
W G G G G G G JG JG JG G G G G G G G G G G G G G G G G JG JG JG G G G G G G W 
W N N DL DA N N N N N N N N N N N N NP N N N N N N N N N N N N N DR DA N N W 
W N N DA DA N N N N N N N N N N N N N N N N N N N N N N N N N N DA DA N N W 
W N N DA DA N N JG JG JG N N N N N N N N N N N N N N N N N N N N N DA DA N N W 
W N N N N N N N N N TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW N N N N N N N N N W 
W N N N N N N N N N TW T T T T T T T T T T T T T T TW N N N N N N N N N W 
W TW TW TW TW TW TW JG JG JG G G G G G G G G G G G G G G G G JG JG JG TW TW TW TW TW TW W 
W T T T T T TW N N N N N N N N N NP N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW JG JG JG N N N N N N N N N N N N N N N N JG JG JG TW T T T T T W 
W T T T T T TW N N N TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW N N N TW T T T T T W 
W T T T T T TW N N N TW T T T T T T T T T T T T T T TW N N N TW T T T T T W 
W T T T T T TW JG JG JG G G G G G G G G G G G G G G G G JG JG JG TW T T T T T W 
W T T T T T TW N N N N N N N N N N DU DA N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N DA DA N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N DA DA N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W 
@
#Town_DLR_1
W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W 
W T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T W 
W T T T T T TW G G G G G G G G G G G G G G G G G G G G G G TW T T T T T W 
W T T T T T TW N N N N N N N N N N DD DA N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N DA DA N N N N N N N N N N TW T T T T T W 
W T T T T T TW JG JG JG N N N N N N N DA DA N N N N N N N JG JG JG TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW JG JG JG N N N N N N N N N N N N N N N N JG JG JG TW T T T T T W 
W T T T T T TW N N N TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW N N N TW T T T T T W 
W T T T T T TW N N N TW T T T T T T T T T T T T T T TW N N N TW T T T T T W 
W T T T T T TW JG JG JG G G G G G G G G G G G G G G G G JG JG JG TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N NP N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW JG JG JG N N N N N N N N N N N N N N N N JG JG JG TW T T T T T W 
W T T T T T TW N N N TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW N N N TW T T T T T W 
W T T T T T TW N N N TW T T T T T T T T T T T T T T TW N N N TW T T T T T W 
W G G G G G G JG JG JG G G G G G G G G G G G G G G G G JG JG JG G G G G G G W 
W N N DL DA N N N N N N N N N N N N NP N N N N N N N N N N N N N DR DA N N W 
W N N DA DA N N N N N N N N N N N N N N N N N N N N N N N N N N DA DA N N W 
W N N DA DA N N JG JG JG N N N N N N N N N N N N N N N N N N N N N DA DA N N W 
W N N N N N N N N N TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW N N N N N N N N N W 
W N N N N N N N N N TW T T T T T T T T T T T T T T TW N N N N N N N N N W 
W TW TW TW TW TW TW JG JG JG G G G G G G G G G G G G G G G G JG JG JG TW TW TW TW TW TW W 
W T T T T T TW N N N N N N N N N NP N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW JG JG JG N N N N N N N N N N N N N N N N JG JG JG TW T T T T T W 
W T T T T T TW N N N TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW N N N TW T T T T T W 
W T T T T T TW N N N TW T T T T T T T T T T T T T T TW N N N TW T T T T T W 
W T T T T T TW JG JG JG G G G G G G G G G G G G G G G G JG JG JG TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W 
@
#Town_UDLR_1
W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W 
W T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T W 
W T T T T T TW G G G G G G G G G G G G G G G G G G G G G G TW T T T T T W 
W T T T T T TW N N N N N N N N N N DD DA N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N DA DA N N N N N N N N N N TW T T T T T W 
W T T T T T TW JG JG JG N N N N N N N DA DA N N N N N N N JG JG JG TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW JG JG JG N N N N N N N N N N N N N N N N JG JG JG TW T T T T T W 
W T T T T T TW N N N TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW N N N TW T T T T T W 
W T T T T T TW N N N TW T T T T T T T T T T T T T T TW N N N TW T T T T T W 
W T T T T T TW JG JG JG G G G G G G G G G G G G G G G G JG JG JG TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N NP N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW JG JG JG N N N N N N N N N N N N N N N N JG JG JG TW T T T T T W 
W T T T T T TW N N N TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW N N N TW T T T T T W 
W T T T T T TW N N N TW T T T T T T T T T T T T T T TW N N N TW T T T T T W 
W G G G G G G JG JG JG G G G G G G G G G G G G G G G G JG JG JG G G G G G G W 
W N N DL DA N N N N N N N N N N N N NP N N N N N N N N N N N N N DR DA N N W 
W N N DA DA N N N N N N N N N N N N N N N N N N N N N N N N N N DA DA N N W 
W N N DA DA N N JG JG JG N N N N N N N N N N N N N N N N N N N N N DA DA N N W 
W N N N N N N N N N TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW N N N N N N N N N W 
W N N N N N N N N N TW T T T T T T T T T T T T T T TW N N N N N N N N N W 
W TW TW TW TW TW TW JG JG JG G G G G G G G G G G G G G G G G JG JG JG TW TW TW TW TW TW W 
W T T T T T TW N N N N N N N N N NP N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW JG JG JG N N N N N N N N N N N N N N N N JG JG JG TW T T T T T W 
W T T T T T TW N N N TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW N N N TW T T T T T W 
W T T T T T TW N N N TW T T T T T T T T T T T T T T TW N N N TW T T T T T W 
W T T T T T TW JG JG JG G G G G G G G G G G G G G G G G JG JG JG TW T T T T T W 
W T T T T T TW N N N N N N N N N N DU DA N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N DA DA N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N DA DA N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W T T T T T TW N N N N N N N N N N N N N N N N N N N N N N TW T T T T T W 
W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W 
@
